,price_eur_mwh,country_code,data_source,data_type,fetch_timestamp
2025-08-11 19:00:00+01:00,135.09,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 20:00:00+01:00,144.41,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 21:00:00+01:00,133.51,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 22:00:00+01:00,110.91,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-11 23:00:00+01:00,109.13,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 00:00:00+01:00,99.94,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 01:00:00+01:00,104.72,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 02:00:00+01:00,104.38,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 03:00:00+01:00,103.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 04:00:00+01:00,104.38,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 05:00:00+01:00,99.18,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 06:00:00+01:00,109.7,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 07:00:00+01:00,98.69,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 08:00:00+01:00,96.13,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 09:00:00+01:00,66.34,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 10:00:00+01:00,40.94,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 11:00:00+01:00,27.2,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 12:00:00+01:00,26.28,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 13:00:00+01:00,27.2,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 14:00:00+01:00,35.05,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 15:00:00+01:00,63.8,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 16:00:00+01:00,85.82,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 17:00:00+01:00,96.78,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 18:00:00+01:00,121.86,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 19:00:00+01:00,154.93,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 20:00:00+01:00,140.81,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
